"model_id","reference_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"UGA_flucast-INFLAenza",2025-01-11,1.3051107221588,277.616530800585,1.54598590290797,407.048076923077,0.307692307692308,0.721153846153846,208
"UGA_flucast-INFLAenza",2025-01-18,1.23779601138329,407.501272449833,1.43293359354471,557.894230769231,0.0961538461538462,0.504807692307692,208
"UGA_flucast-INFLAenza",2025-02-01,0.951426127553557,270.443045289855,1.21785544289504,418.112745098039,0.215686274509804,0.730392156862745,204
"UGA_flucast-INFLAenza",2025-02-08,0.723104868325074,172.665687158994,0.918654491716591,273.835784313725,0.470588235294118,0.946078431372549,204
"UGA_flucast-INFLAenza",2025-02-15,0.58237888369648,146.967360169314,0.707236574928581,223.932692307692,0.524038461538462,0.971153846153846,208
"UGA_flucast-INFLAenza",2025-02-22,0.488300163005948,104.672823913044,0.550861039182539,154.326923076923,0.625,0.985576923076923,208
"UGA_flucast-INFLAenza",2025-03-01,0.435573087345471,85.3825107545987,0.480971376426671,124.805288461538,0.586538461538462,0.980769230769231,208
"UGA_flucast-INFLAenza",2025-03-08,0.452809313180721,74.7776856291806,0.495135086822311,113.65625,0.591346153846154,0.990384615384615,208
"UGA_flucast-INFLAenza",2025-03-15,0.493188017951643,62.9218778950669,0.527505069199074,97.9663461538462,0.490384615384615,0.947115384615385,208
"UGA_flucast-INFLAenza",2025-03-22,0.505458842571409,51.2651068979933,0.510671046934738,80.4903846153846,0.432692307692308,0.923076923076923,208
"UGA_flucast-INFLAenza",2025-03-29,0.516689885426353,36.9524036764706,0.489068329937448,57.0735294117647,0.401960784313726,0.911764705882353,204
"UGA_flucast-INFLAenza",2025-04-05,0.490261229966966,25.0058905903666,0.452484779435585,38.3651960784314,0.446078431372549,0.926470588235294,204
"UGA_flucast-INFLAenza",2025-04-12,0.454340638890436,14.742189548495,0.415116192194449,21.2716346153846,0.572115384615385,0.971153846153846,208
"UGA_flucast-INFLAenza",2025-04-19,0.445395061532825,9.74047483277592,0.47604152968238,13.9399038461538,0.644230769230769,0.995192307692308,208
"UGA_flucast-INFLAenza",2025-04-26,0.416474286455272,8.2323206208194,0.450240795738071,11.3076923076923,0.644230769230769,0.985576923076923,208
"UGA_flucast-INFLAenza",2025-05-03,0.425815006251649,6.94875341764214,0.715892296996623,11.1201923076923,0.629807692307692,0.980769230769231,208
"UGA_flucast-INFLAenza",2025-05-10,0.441850630573298,7.18374682274247,0.808903986838557,11.7884615384615,0.586538461538462,0.995192307692308,208
"UGA_flucast-INFLAenza",2025-05-17,0.475783388508511,6.60956446488294,1.05617380927587,11.03125,0.509615384615385,0.980769230769231,208
"UGA_flucast-INFLAenza",2025-05-24,0.542318260743563,7.04968690426421,1.31857895970898,11.8365384615385,0.509615384615385,0.971153846153846,208
"UGA_flucast-INFLAenza",2025-05-31,0.516355078264762,7.06939012332776,1.17607871088466,12.1754807692308,0.504807692307692,0.9375,208
"UGA_flucast-Scenariocast",2024-12-07,0.574456637868394,99.2726609531773,0.659911380639617,142.307692307692,0.326923076923077,0.658653846153846,208
"UGA_flucast-Scenariocast",2024-12-14,0.526831123586236,154.430298913043,0.653401183000014,222.677884615385,0.211538461538462,0.610576923076923,208
"UGA_flucast-Scenariocast",2024-12-21,0.432045306072767,146.823298494983,0.59155737185035,231.923076923077,0.307692307692308,0.793269230769231,208
"UGA_flucast-Scenariocast",2024-12-28,0.600169502301233,201.277734113712,0.775146123710309,298.480769230769,0.317307692307692,0.802884615384615,208
"UGA_flucast-Scenariocast",2025-01-04,1.48110339426442,328.222336956522,1.88216836859835,508.528846153846,0.408653846153846,0.879807692307692,208
"UGA_flucast-Scenariocast",2025-01-11,1.835671058535,398.228114548495,2.35765141097286,634.788461538462,0.3125,0.875,208
"UGA_flucast-Scenariocast",2025-01-18,0.92554928601463,313.464680183946,1.2095608791445,484.033653846154,0.283653846153846,0.735576923076923,208
"UGA_flucast-Scenariocast",2025-02-15,1.22452848989423,315.057982859532,1.30089501135319,416.225961538462,0.384615384615385,0.956730769230769,208
"UGA_flucast-Scenariocast",2025-02-22,0.875612882070172,191.638898411371,0.952834130822806,270.466346153846,0.427884615384615,0.975961538461538,208
"UGA_flucast-Scenariocast",2025-03-01,0.377028090784651,75.4147658862876,0.318024855679141,85.7115384615385,0.793269230769231,0.961538461538462,208
"UGA_flucast-Scenariocast",2025-03-08,0.53841425647065,90.4625919732441,0.570201612309826,134.447115384615,0.649038461538462,1,208
"UGA_flucast-Scenariocast",2025-03-15,0.479870828740599,61.6229473244147,0.492377974981654,92.5048076923077,0.586538461538462,0.985576923076923,208
"UGA_flucast-Scenariocast",2025-03-22,0.241000824903786,24.3013816889632,0.213362823210888,33.3605769230769,0.586538461538462,0.975961538461538,208
"UGA_flucast-Scenariocast",2025-03-29,0.282389075454329,19.7835592497869,0.265104217867529,29.5441176470588,0.485294117647059,0.92156862745098,204
"UGA_flucast-Scenariocast",2025-04-05,0.317530230046138,16.2312813545151,0.291800614979934,24.0673076923077,0.466346153846154,0.870192307692308,208
"UGA_flucast-Scenariocast",2025-04-12,0.368169913317681,11.8594753344482,0.374215134435965,18.8028846153846,0.451923076923077,0.884615384615385,208
"UGA_flucast-Scenariocast",2025-04-19,0.62427851362415,13.54752090301,0.765117315921986,21.9519230769231,0.548076923076923,0.947115384615385,208
"UGA_flucast-Scenariocast",2025-04-26,0.552601152469585,10.8007755016722,0.706340848869141,17.3028846153846,0.538461538461538,0.971153846153846,208
"UGA_flucast-Scenariocast",2025-05-03,0.673884263941365,10.873741638796,1.15343735143793,17.5817307692308,0.5,0.927884615384615,208
"UGA_flucast-Scenariocast",2025-05-10,0.659475754990234,10.9434176421405,1.10213716746548,16.2451923076923,0.509615384615385,0.932692307692308,208
"UGA_flucast-Scenariocast",2025-05-17,0.60197644902351,8.32205685618729,1.29533786550965,13.4567307692308,0.557692307692308,0.932692307692308,208
"UGA_flucast-Scenariocast",2025-05-24,0.638505652998969,8.25029264214047,1.49999391639464,13.3413461538462,0.543269230769231,0.932692307692308,208
"UGA_flucast-Scenariocast",2025-05-31,0.605514058894313,8.25446070234114,1.35771310222307,14.0865384615385,0.591346153846154,0.932692307692308,208
"UGuelph-CompositeCurve",2024-12-07,0.903192535314612,155.18381270903,1.00536445464729,215.725961538462,0.211538461538462,0.442307692307692,208
"UGuelph-CompositeCurve",2024-12-21,0.619560688790972,209.621630434783,0.856212292332283,333.658653846154,0.216346153846154,0.639423076923077,208
"UGuelph-CompositeCurve",2024-12-28,0.608615766076246,64.6013043478261,0.582539621405164,79,0.375,0.625,8
"UGuelph-CompositeCurve",2025-01-04,1.26956713225901,279.875148411371,1.75970499203404,468.947115384615,0.254807692307692,0.528846153846154,208
"UGuelph-CompositeCurve",2025-01-11,0.900346462266929,194.508927675585,0.964271232830888,263.831730769231,0.557692307692308,0.875,208
"UGuelph-CompositeCurve",2025-01-18,0.604853147047885,205.798219063545,0.815904168541916,333.548076923077,0.447115384615385,0.793269230769231,208
"UGuelph-CompositeCurve",2025-02-01,0.820134745383454,227.40370819398,0.95538263031202,318.75,0.466346153846154,0.721153846153846,208
"UGuelph-CompositeCurve",2025-03-15,0.418429578534557,52.9517328595318,0.36311922017492,65.9230769230769,0.759615384615385,1,208
"UGuelph-CompositeCurve",2025-03-22,0.40428384342073,41.1126881270903,0.338314145440572,53.3028846153846,0.8125,0.990384615384615,208
"UGuelph-CompositeCurve",2025-03-29,0.392503254974531,28.866239548495,0.303372979086573,35.1923076923077,0.716346153846154,0.975961538461538,208
"UGuelph-CompositeCurve",2025-05-03,0.547767494678996,9.12191680602007,0.741919056578613,11.6586538461538,0.149038461538462,0.350961538461538,208
"UGuelph-CompositeCurve",2025-05-10,0.57046551625399,9.60038252508361,0.811188380361152,11.8894230769231,0.158653846153846,0.365384615384615,208
"UGuelph-CompositeCurve",2025-05-17,0.593383784638179,8.19686245819398,1.02017026853919,10.6538461538462,0.197115384615385,0.427884615384615,208
"UGuelph-CompositeCurve",2025-05-31,0.72874552228703,10.0128469899666,1.1763310538079,12.2163461538462,0.144230769230769,0.355769230769231,208
"UI_CompEpi-EpiGen",2024-12-07,1.11346674655869,190.20016722408,0.968718641394244,207.951923076923,0.0576923076923077,0.375,208
"UI_CompEpi-EpiGen",2024-12-14,1.13614701473612,327.970495401338,1.00009949737911,338.591346153846,0.00961538461538462,0.110576923076923,208
"UI_CompEpi-EpiGen",2024-12-21,1.15999140271633,392.137341137124,1.03233461980939,403.6875,0.00480769230769231,0.0288461538461538,208
